logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-23607.936172646336,-21129.22459481579,-21779.622280652053,-19677.223612915997
-29495.302290933465,-28236.428822142298,-31391.848796531875,-29991.647635594145
-60423.274576073265,-62028.57412850483,-53883.14088547869,-54945.860211853455
-137.0231158741968,-492.44402060400495,-251.91624042555048,-623.1270407283516
-50952.847908017575,-48935.53412950565,-45841.4339428228,-44126.90648342202
-83690.18107578314,-82258.46349804522,-73048.51520546223,-71716.69774695745
-4355.962140337228,-5614.6791180995515,-4328.599665592738,-5528.394684242471
-110.09248192242359,-357.463049261095,-94.15015479633023,-336.14026305547526
-40671.24977498619,-40803.881910412296,-43726.41657138959,-43869.3357665042
-51681.8184618823,-50323.36832604928,-56149.51138666782,-54547.465406145886
-1337.3646667473058,-2020.9626529984553,-1400.7004985438475,-2147.07064979898
-14019.694508334369,-12123.089195233764,-13258.849859409776,-11551.54764197022
-162606.4709046129,-161876.65187368036,-198902.19601309468,-197831.51794476266
-28810.704339134165,-29591.244242571065,-30668.133708059686,-31604.53339988504
-274906.6207766429,-268139.3850556245,-223962.23209777244,-218951.02334072435
-155289.95793469474,-155785.8558850408,-131744.9554566627,-131991.64530009555
-59036.386700906995,-60078.33493995995,-65500.719642889555,-66979.0948001217
-22012.675288956485,-23160.01357527645,-23403.698937519537,-24743.3040701937
-43635.340070440434,-41252.14468825667,-39983.82414630656,-37974.89480399725
-88690.38989214113,-85899.37775615351,-101500.19521376782,-97786.14426657862
-2022.8805939876777,-1409.8947948897162,-1951.3077639852404,-1382.5228496192472
-14415.214621520367,-16363.579965776604,-15431.647359465498,-17761.891239069777
-3189.279673240697,-3797.077755738041,-2934.20422044503,-3477.3965443658567
-220644.95202486587,-227697.12127980593,-182699.8117415188,-187166.07382883845
-221.66076695948118,-794.3890859911941,-270.06483922322485,-896.4274802020495
-15375.795923146828,-14445.943734478955,-15502.920177737125,-14516.255061355041
-697.934942067801,-1429.4819394141673,-602.1324754637526,-1257.913747835706
-8570.83555678147,-7956.680235036527,-7900.945015903669,-7392.098406435013
-7179.188125087961,-8911.030075763778,-6678.8840515796555,-8196.28924312363
-22760.37994320507,-27071.783689113734,-20553.519284406553,-24084.816399610794
-10929.83186832475,-13278.206036649615,-10539.365371696631,-12649.272365537518
-23047.934975317316,-26391.807454105852,-21571.22083915388,-24405.406922773098
-713.4291405202132,-1065.5561658585768,-759.8115844696898,-1138.4689560607726
-96697.70330696272,-99800.77016562174,-112331.73571743062,-116790.48878088883
-117618.86890516266,-111725.88966840296,-102272.06045587966,-97783.19588023647
-18544.15118181992,-17930.50418690691,-17772.417975771168,-17185.243738636065
-83372.76735303127,-86685.38364591429,-95205.90909714534,-99909.84775777506
-4488.682273679834,-3790.850885225692,-4609.511533586889,-3892.637165462845
-64864.9377178455,-68588.06635954797,-71551.70984387098,-76381.80392124281
-56986.77196149372,-60889.870021553,-62187.20643302661,-67127.69464423216
-20610.461454296717,-19781.33542378795,-18637.1944282082,-17866.592856657127
-173714.65946611398,-177970.26164532301,-212838.9739124778,-219735.33960396601
-70419.54878347118,-73238.60410363166,-80090.55761365923,-84054.05631635869
-66073.54495520488,-66995.721173804,-74127.57564220903,-75497.42685154123
-64.72251270939923,-466.83026269735325,-82.68886930068373,-517.1589704858295
-2547.107922556316,-2259.8477298358093,-2513.728198931081,-2265.9832827262867
-42586.04291888702,-40493.12222136507,-45510.7971778931,-43107.53606575132
